101 san josé,0.791865414123741,14.207752713033,42.0219819894881,42.9783998833552
102 escazú,2.12355553982551,14.234900635297,39.4875152630554,44.154028561822
103 desamparados,0.560431071296621,14.540979122983,39.0272106558675,45.8713791498529
104 puriscal,0.872621500424191,10.3714701248334,34.3231123500182,54.4327960247243
105 tarrazú,0.442260442260442,14.017199017199,33.5995085995086,51.9410319410319
106 aserrí,0.545843985352035,13.8084709458993,36.3072617978304,49.3384232709183
107 mora,1.22841712938313,11.0785730584924,38.3775766334525,49.3154331786719
108 goicoechea,0.644746446074172,12.0668381356227,43.2614438149526,44.0269716033506
109 santa ana,1.64485068094375,13.5455896423264,41.9131567697413,42.8964029069886
110 alajuelita,0.541216190095744,16.4761671584861,35.8993853330412,47.0832313183769
111 vázquez de coronado,0.605098700525742,11.0124656945409,42.7768409218662,45.6055946830672
112 acosta,1.03914097679252,9.21371666089366,32.9754069968826,56.7717353654312
113 tibás,0.669319268375436,11.5850837420191,41.0752290182289,46.6703679713766
114 moravia,0.903037649993851,10.6976580755108,42.6272422214023,45.772062053093
115 montes de oca,1.15606936416185,10.1746316046568,38.009851013596,50.6594480175853
116 turrubares,1.14296081277213,18.1240928882438,27.4854862119013,53.2474600870827
117 dota,0.705238917674151,15.097869890616,34.0529648819804,50.1439263097294
118 curridabat,1.25448578351685,13.2855872159004,41.1756586817164,44.2842683188664
119 pérez zeledón,0.699451439784739,12.8748123151025,33.5365037834302,52.8892324616825
120 león cortés castro,1.32786885245902,13.0245901639344,32.5409836065574,53.1065573770492
201 alajuela,0.757593590860228,13.443264832121,39.7287414765817,46.0704001004371
202 san ramón,1.32934488493906,15.3786957277263,32.3113968671648,50.9805625201698
203 grecia,0.94800905095061,14.4438086816302,35.7096413430778,48.8985409243413
204 san mateo,0.765971316818774,15.8898305084746,33.6212516297262,49.7229465449805
205 atenas,1.28043990573449,10.7501963864886,39.0062843676355,48.9630793401414
206 naranjo,1.32746470629551,16.3603586730035,32.893966708028,49.418209912673
207 palmares,1.41721396474248,13.3195068556285,34.5345085839382,50.7287705956908
208 poás,0.811671632590157,14.3395321757594,35.0320216445769,49.8167745470735
209 orotina,0.91440932107566,15.3974730839192,33.9216361044196,49.7664814905855
210 san carlos,0.676661882805582,19.541360041528,31.2748480869645,48.507129988702
211 zarcero,1.02417042195821,17.206063088898,33.3797623924621,48.3900040966817
212 valverde vega,0.884711086535803,16.4556262095659,33.0439590821122,49.615703621786
213 upala,0.732600732600733,21.6458489750415,30.553090801538,47.0684594908198
214 los chiles,0.674109964187908,22.2793343164104,28.3505371813777,48.696018538024
215 guatuso,0.818932164044364,22.3626515346918,25.4255867939128,51.392829507351
301 cartago,0.558493015456599,13.9231091698333,38.8172929992292,46.7011048154809
302 paraíso,0.502225377967892,13.4631037528358,36.6416708518782,49.3930000173181
303 la unión,0.611676173804565,14.1359571021841,40.5517158120303,44.700650911981
304 jiménez,0.565819074238189,11.0027950098848,33.5946553957325,54.8367305201445
305 turrialba,0.903527924615031,12.5703861181338,32.0544127786716,54.4716731785796
306 alvarado,0.538010061486864,14.3376187814421,34.2020681945221,50.9223029625489
307 oreamuno,0.545378576298023,15.6510456754558,35.2143029929848,48.5892727552614
308 el guarco,0.514440217261264,13.0308903404876,37.0492666235973,49.4054028186538
401 heredia,0.699747605487963,10.4687095521615,43.255727413927,45.5758154284235
402 barva,0.612395474667978,9.58435809149041,42.1101819970487,47.6930644367929
403 santo domingo,0.78109403074466,9.29826312637253,44.3426831702935,45.5779596725893
404 santa bárbara,0.61529122865105,11.4394503766245,39.0309852937119,48.9142731010126
405 san rafael,0.641792668334603,12.2723811595779,41.4619819427826,45.6238442293049
406 san isidro,0.726990742984539,11.239276886541,42.7519022924441,45.2818300780303
407 belén,1.22960292146258,10.3221929459622,42.3612074145981,46.0869967179772
408 flores,0.534012077656336,9.02829764934871,44.8620052902131,45.5756849827819
409 san pablo,0.773372845217014,8.75284593979256,46.0084565068122,44.4653247081782
410 sarapiquí,0.650952805921571,19.297600923933,28.6751710500989,51.3762752200466
501 liberia,0.714433136996523,18.8896121421881,32.9131408068332,47.4828139139822
502 nicoya,0.670929660600098,14.2272503689129,27.7520905066404,57.3497294638465
503 santa cruz,1.09066492450639,22.2252468060395,32.268074912892,44.4160133565621
504 bagaces,0.670556920556921,16.2162162162162,28.0456592956593,55.0675675675676
505 carrillo,1.28495231937934,19.640644361834,31.628145035289,47.4462582834977
506 cañas,0.900728979809931,15.95740620587,33.3422388458456,49.7996259684745
507 abangares,0.587615721492322,19.1751205720938,28.2609900770553,51.9762736293586
508 tilarán,1.0081466395112,13.6965376782077,32.0824847250509,53.2128309572301
509 nandayure,0.800287743907922,14.8907472349609,25.312471900009,58.9964931211222
510 la cruz,0.662113549867056,30.0140764298003,19.5297429748188,49.7940670455138
511 hojancha,0.805891343615395,12.7414200361262,22.4260108378491,64.0266777824093
601 puntarenas,0.643371964631931,14.176788182822,30.066336866083,55.1135029864631
602 esparza,0.638877251780478,14.006423683843,33.2635106828655,52.091188381511
603 buenos aires,0.455308991247458,10.2952877729644,20.9906285916365,68.2587746441517
604 montes de oro,0.494208494208494,9.62934362934363,33.6061776061776,56.2702702702703
605 osa,0.825603913974111,15.1496619440764,26.8949818231237,57.1297523188258
606 aguirre,0.841368526860504,16.4513607088344,34.2876289043595,48.4196418599456
607 golfito,0.623243933588761,23.6832694763729,27.5989782886335,48.0945083014049
608 coto brus,0.69435414662055,14.1939510571347,26.1097963747952,59.0018984214496
609 parrita,0.713620850139622,14.9115730685697,33.1058020477816,51.2690040335091
610 corredores,0.509191747746886,15.6988836030695,26.3871291625828,57.4047954866008
611 garabito,1.0737709675547,24.1975738580301,32.3176040397005,42.4110511347147
701 limón,0.607954244558598,15.3873854790023,31.555367261558,52.4492930148811
702 pococí,0.600974897191217,16.0667502897699,30.7029104015497,52.6293644114892
703 siquirres,0.419117388088614,10.3511428873314,32.1875110062339,57.0422287183461
704 talamanca,0.553529564990883,17.6022401667101,18.829773378484,63.0144568898151
705 matina,0.567323241695607,12.0648975371809,32.6502478725378,54.7175313485857
706 guácimo,1.19953472592449,12.3879222604566,30.7153588910968,55.6971841225222
